AT-Nr. / AT-No.,AT-Nr. Selbsttest / AT-No. selftest,Cq 25-30,Cq <25,Cq >30,Gesamt- Sensitvität / total sensitivity,Hersteller / Manufacturer,Ref-Nr./ ID-No.,Testname / Test name,Zielantigen / target antigen
AT722/21,,"75,0%","100,0%","10,0%","72,0%","Neo-nostics (Suzhou) Bioengeneering Co., Ltd.",SVRAG,COVID 19 Antigen Test Kit (Colloidal Gold Method),N
AT731/21,,"100,0%","100,0%","100,0%","100,0%",Guangdong Longsee Biomedical Co. Inc.,LS-C-T-009,Longsee 2019-nCoV Ag Rapid Detection Kit (Immuno- Chromatography),N
AT748/21,,"85,0%","100,0%","0,0%","74,0%","Shanghai Liangrun Biomedicine Technology Co., Ltd.",n.a.,LionRunTM SARS-CoV-2 Antigen Rapid Test Kit (Lateral Flow Immunoassay),N
AT755/21,,"100,0%","100,0%","60,0%","92,0%","Glallergen CO., LTD.",600008,Novel Corona Virus (2019-nCoV) Ag Rapid Test Kit,N
AT765/21,,"40,0%","100,0%","0,0%","56,0%",Surge Medical Inc.,n.a.,COVID-19 Antigen Test Kit,N
AT766/21,AT1172/21,"20,0%","90,0%","0,0%","44,0%","Hangzhou AllTest Biotech Co.,Ltd.",INCP-502-N,AllTest SARS-CoV-2 Antigen Rapid Test (Nasal Swab),N
AT767/21,,"20,0%","100,0%","0,0%","48,0%","Fosun Diagnostics (Shanghai) Co., Ltd (ehemals Shanghai Fosun Long March Medical Science Co., Ltd.)",PCSYHN02,Fosun Covid-19 Ag Card,N
AT770/21,,"95,0%","100,0%","60,0%","90,0%","Jiangxi Province JinHuan Medical Instrument Co.,LTD.",n.a.,COVID-19 antigen Schnelltest (Kolloidales Gold) / Novel Coronavirus(SARS-CoV-2) Antigen Rapid Detection Kit,N
AT777/21,,"0,0%","55,0%","0,0%","22,0%","Shenzhen Landwind Biotechnology Co., Ltd.",n.a.,Landwind SARS-CoV-2 Antigen Test Kit (Colloidal Gold),N
AT785/21,,"50,0%","100,0%","10,0%","62,0%","Anhui Formaster Biosci Co., Ltd",FCB-103,New Coronavirus (COVID-19) Antigen Rapid Test,N
AT787/21,,"15,0%","95,0%","0,0%","44,0%","BioDetect (Xiamen) Biotechnology Co., Ltd",GMT102,SARS-Cov-2-Antigen-Schnelltest-Karte,N
AT789/21,,"20,0%","100,0%","0,0%","48,0%",SureScreen Diagnostics Ltd.,COVID19AGVCG,COVID-19 Antigen Rapid Test Cassette (Nasal Swab),N
AT790/21,,"55,0%","100,0%","0,0%","62,0%","Merlin Biomedical (Xiamen) Co., Ltd.",CP02150011,SARS-CoV-2 Antigen Rapid Test Cassette,N
AT791/21,,"5,0%","85,0%","0,0%","36,0%",Asterion Otel Insaat Bilisim Medikal Maden Tic.Ltd.Sti.,MY28,AS-check COVID-19 Antigen Schnelltest,N
AT805/21,,"100,0%","100,0%","60,0%","92,0%","Bioscience (Tianjin) Diagnostic Technology Co., Ltd",n.a.,Novel oronavirus(2019-nCoV) Antigen Rapid Test,N
AT816/21,,"5,0%","90,0%","0,0%","38,0%","Hangzhou DIAN Biotechnology Co., Ltd.",n.a.,GENEDIAN COVID-19 Antigen Test Cassette,N
AT818/21,,"90,0%","100,0%","0,0%","76,0%","Hangzhou Genesis Biodetection & Biocontrol Co., Ltd.",P211138,KaiBiLi COVID-19 Antigen Pro,N
AT819/21,,"0,0%","30,0%","0,0%","12,0%","Foregene Co.,Ltd.",BQ-03012,FOREGENE SARS-CoV-2 Antigen Test Kit,N
AT820/21,,"75,0%","100,0%","10,0%","72,0%","Beijing O&D Biotech Co., Ltd.",00013C,Covid-19 Antigen Rapid Test (Colloidal Gold),N
AT821/21,,"55,0%","100,0%","0,0%","62,0%","Hangzhou Zheda Dixun Biological Gene Engineering Co., Ltd.",IFC-SCoV2-AG,SARS-Cov-2 Nucleocapsid(N) Antigen Rapid Test Cassette,N
AT823/21,AT1281/21,"20,0%","100,0%","0,0%","48,0%",MSP bodmann GmbH,0000000168,MSP SARS-CoV-2 Antigen-Schnelltest,N
AT825/21,,"0,0%","75,0%","0,0%","30,0%","Hangzhou Careomedic Tech Co., Ltd.",n.a.,SARS-CoV-2-Antigen-Schnelltest,N
AT829/21,,"30,0%","100,0%","0,0%","52,0%","Shenzhen Dymind Biotechnology Co., Ltd.",n.a.,SARS-CoV-2 Antigen Test Kit (Colloidal Gold),N
AT830/21,,"100,0%","100,0%","80,0%","96,0%","Suzhou Soochow University Saier Immuno Biotech Co., Ltd.",n.a.,InstantSure Covid-19 Ag CARD,N
AT839/21,,"70,0%","100,0%","10,0%","70,0%","Zhongxiu Science and Technology Co., Ltd",n.a.,Neuartiges Coronavirus (2019-nCoV) Antigendetektions- reagenz (immunochromatographischer Assay),N
AT844/21,,"50,0%","100,0%","0,0%","60,0%","Shenzhen Reagent Technology Co., Ltd.",RNS92048B,SARS-CoV-2 Antigen IVD kit SWAB,N+S
AT847/21,,"60,0%","100,0%","0,0%","64,0%","Wuxi Biohermes Bio & Medical Technology Co., Ltd.",COV-S31,SARS-CoV-2 Antigen Test Kit (Lateral Flow Assay),N
AT848/21,,"80,0%","95,0%","10,0%","72,0%",TBG Biotechnology Xiamen Inc.,04A024,TBG SARS-CoV-2 Antigen Rapid Test,N
AT849/21,,"75,0%","100,0%","0,0%","70,0%","Jiangsu Bioperfectus Technologies Co., Ltd.",n.a.,Novel Coronavirus (SARS-CoV-2) Ag Rapid Test Kit,N
AT857/21,,"10,0%","80,0%","0,0%","36,0%","Shen Zhen Zi Jian Biotechnology Co., Ltd.",n.a.,Zijian SARS-CoV-2 (COVID-19) Antigen Rapid Detection Kit (Lateral Flow Method),N
AT863/21,,"5,0%","80,0%","0,0%","34,0%","Pro-med (Beijing) Technology Co. ,Ltd.",n.a.,Pro-med COVID-19 Antigen Rapid Detection Kit,N
AT879/21,,"95,0%","100,0%","20,0%","82,0%","Biohit Healthcare (Hefei) Co., Ltd.",209.01.25.01,SARS-CoV-2 Antigen Rapid Test (Colloidal Gold Method),N
AT882/21,,"15,0%","85,0%","10,0%","42,0%","Jiaxing Wisetest Bio-Tech Co., Ltd.",n.a.,Saliva SARS-CoV-2 (2019-nCoV) Antigen Test Kit (Nanocarbon Assay),N
AT883/21,,"95,0%","100,0%","40,0%","86,0%","Jiangsu Well Biotech Co., Ltd.",CO-05,COVID-19 Schnelltestgerät,N
AT889/21,,"100,0%","100,0%","90,0%","98,0%",CITEST Diagnostics Inc.,n.a.,COVID-19 Antigen Rapid Test (Oral Fluid),N
